      Step     Time          Energy         fmax
BFGS:    0 21:00:41     -206.547976        1.1437
BFGS:    1 22:44:37     -206.572941        1.1091
BFGS:    2 00:33:08     -206.636417        1.1902
BFGS:    3 01:00:26     -206.702716        1.2051
BFGS:    4 01:27:14     -206.770461        1.3315
BFGS:    5 01:54:12     -206.842124        1.3219
BFGS:    6 02:25:40     -206.915703        1.4121
BFGS:    7 02:54:15     -206.992251        1.4252
BFGS:    8 03:21:49     -207.070698        1.5624
BFGS:    9 03:46:50     -207.153086        1.5538
BFGS:   10 04:11:22     -207.237840        1.6484
BFGS:   11 04:36:29     -207.325733        1.6600
BFGS:   12 05:03:01     -207.415990        1.8053
BFGS:   13 05:32:22     -207.510161        1.7969
BFGS:   14 05:57:11     -207.607118        1.8944
BFGS:   15 06:20:47     -207.707266        1.9023
BFGS:   16 06:44:28     -207.810202        2.0534
BFGS:   17 07:07:31     -207.916892        2.0444
BFGS:   18 07:30:35     -208.026791        2.1415
BFGS:   19 07:51:50     -208.139877        2.1452
BFGS:   20 08:25:05     -208.256223        2.2983
BFGS:   21 08:47:17     -208.376038        2.2866
BFGS:   22 09:09:42     -208.499587        2.3798
BFGS:   23 09:29:25     -208.626204        2.3780
BFGS:   24 09:45:58     -208.756587        2.5290
BFGS:   25 10:01:56     -208.889791        2.5122
BFGS:   26 10:17:42     -209.027659        2.5978
BFGS:   27 10:33:25     -209.168144        2.5866
BFGS:   28 10:48:39     -209.313700        2.7313
BFGS:   29 11:03:50     -209.460363        2.7057
BFGS:   30 11:19:40     -209.610505        2.7750
BFGS:   31 11:34:09     -209.762789        2.7488
BFGS:   32 11:48:39     -209.917925        2.8755
BFGS:   33 12:01:48     -210.074450        2.8311
BFGS:   34 12:14:08     -210.233221        2.8759
BFGS:   35 12:27:43     -210.392925        2.8234
BFGS:   36 12:40:30     -210.554299        2.9236
BFGS:   37 12:51:59     -210.715422        2.8514
BFGS:   38 13:03:49     -210.877114        2.8600
BFGS:   39 13:16:08     -211.037785        2.7725
BFGS:   40 13:27:30     -211.197994        2.8350
BFGS:   41 13:39:34     -211.355365        2.7236
BFGS:   42 13:51:22     -211.510625        2.6868
BFGS:   43 14:02:56     -211.661964        2.5574
BFGS:   44 14:14:10     -211.809843        2.5784
BFGS:   45 14:25:07     -211.951949        2.4255
BFGS:   46 14:35:33     -212.088621        2.3472
BFGS:   47 14:44:56     -212.218212        2.1786
BFGS:   48 14:54:21     -212.341167        2.1710
BFGS:   49 15:03:46     -212.455803        1.9921
BFGS:   50 15:12:39     -212.562494        1.8943
BFGS:   51 15:21:14     -212.660498        1.7143
BFGS:   52 15:33:14     -212.750809        1.7065
BFGS:   53 15:53:54     -212.833166        1.5350
BFGS:   54 16:19:22     -212.908268        1.4540
BFGS:   55 16:46:47     -212.976603        1.2996
BFGS:   56 17:22:52     -213.040004        1.3296
BFGS:   57 18:01:57     -213.098939        1.1951
BFGS:   58 18:22:27     -213.154373        1.1541
BFGS:   59 18:35:07     -213.206676        1.0368
BFGS:   60 18:48:50     -213.257597        1.1004
BFGS:   61 19:04:51     -213.306601        0.9883
BFGS:   62 19:25:28     -213.354145        0.9545
BFGS:   63 19:48:49     -213.399047        0.8265
BFGS:   64 20:28:26     -213.442166        0.8555
BFGS:   65 21:15:00     -213.479898        0.6823
BFGS:   66 23:10:56     -213.512546        0.5516
BFGS:   67 01:03:13     -213.537286        0.4057
BFGS:   68 01:50:45     -213.555612        0.3452
BFGS:   69 02:43:12     -213.564225        0.3068
BFGS:   70 03:53:57     -213.573781        0.2733
BFGS:   71 05:55:57     -213.605358        0.1818
BFGS:   72 07:32:44     -213.621518        0.1934
BFGS:   73 08:26:08     -213.627050        0.2239
BFGS:   74 09:33:17     -213.634179        0.2528
BFGS:   75 11:34:44     -213.645005        0.2492
BFGS:   76 13:27:58     -213.659740        0.1786
BFGS:   77 14:31:49     -213.665422        0.1636
BFGS:   78 16:26:53     -213.667273        0.1808
BFGS:   79 19:56:39     -213.669309        0.1719
BFGS:   80 23:06:15     -213.672854        0.1268
BFGS:   81 01:52:38     -213.676646        0.0730
BFGS:   82 05:48:02     -213.683549        0.1783
BFGS:   83 10:22:10     -213.681282        0.2238
BFGS:   84 13:27:44     -213.688173        0.0307
